param,mean,sd,q5,q50,q95,rhat,ess
"age_curve[1,7]",4.11785,0.392247,3.54821,4.07616,4.81022,1.01961,262.048
"age_curve[1,8]",4.18821,0.398794,3.60425,4.15086,4.8998,1.02199,197.454
"age_curve[1,9]",4.25982,0.405955,3.66748,4.22245,4.98533,1.02443,163.814
"age_curve[1,10]",4.3327,0.413755,3.72804,4.29677,5.07952,1.02729,135.848
"age_curve[1,11]",4.40688,0.422222,3.78981,4.37521,5.17272,1.03019,115.323
"age_curve[1,12]",4.48238,0.43138,3.85249,4.45188,5.25557,1.03313,100.384
"age_curve[1,13]",4.55922,0.441253,3.91621,4.52846,5.35949,1.03613,88.3562
"age_curve[1,14]",4.63743,0.451864,3.98098,4.59946,5.45167,1.03913,78.3549
"age_curve[1,15]",4.71704,0.463235,4.04683,4.67771,5.55562,1.04156,71.559
"age_curve[1,16]",4.79807,0.475385,4.11376,4.75978,5.65331,1.04446,65.0361
"age_curve[1,17]",4.88054,0.488335,4.17804,4.84268,5.75533,1.04725,60.0344
"age_curve[1,18]",4.96449,0.502103,4.24551,4.93002,5.86256,1.04998,55.5738
"age_curve[1,19]",5.04993,0.516707,4.3046,5.01616,5.9648,1.05225,52.6171
"age_curve[1,20]",5.13691,0.532165,4.37125,5.10673,6.08327,1.05452,49.8958
"age_curve[1,21]",5.22544,0.548491,4.4515,5.1995,6.20201,1.05688,47.2624
"age_curve[1,22]",5.31555,0.565703,4.53406,5.2908,6.30783,1.05907,45.1168
"age_curve[1,23]",5.40728,0.583816,4.60143,5.38396,6.42865,1.06039,43.7493
"age_curve[1,24]",5.50066,0.602845,4.66894,5.47759,6.55225,1.06301,41.6596
"age_curve[2,1]",2.80741,0.319836,2.27196,2.80604,3.29697,1.04826,65.2231
"age_curve[2,2]",2.89092,0.325177,2.34831,2.88816,3.39244,1.04776,65.5116
"age_curve[2,3]",2.97697,0.330986,2.42921,2.97325,3.49262,1.04694,67.7877
"age_curve[2,4]",3.06563,0.337315,2.51226,3.06283,3.59577,1.04592,69.2682
"age_curve[2,5]",3.15699,0.344219,2.5972,3.15233,3.70196,1.04468,71.3716
"age_curve[2,6]",3.25114,0.351755,2.67721,3.24873,3.81129,1.04332,75.1808
"age_curve[2,7]",3.34815,0.359981,2.75977,3.34718,3.92385,1.04206,77.3958
"age_curve[2,8]",3.44812,0.368959,2.84523,3.44658,4.03974,1.04088,82.0019
"age_curve[2,9]",3.55113,0.378752,2.92898,3.5483,4.15904,1.03978,87.3853
"age_curve[2,10]",3.6573,0.389426,3.01326,3.65472,4.28187,1.03753,96.6322
"age_curve[2,11]",3.7667,0.401047,3.10029,3.76611,4.40832,1.03514,108.92
"age_curve[2,12]",3.87945,0.41368,3.19194,3.87613,4.53851,1.03352,120.563
"age_curve[2,13]",3.99565,0.427396,3.28612,3.99078,4.67255,1.03187,132.0
"age_curve[2,14]",4.1154,0.442261,3.38142,4.10983,4.81054,1.03003,150.252
"age_curve[2,15]",4.23881,0.458343,3.48724,4.23263,4.95261,1.02832,173.268
"age_curve[2,16]",4.36601,0.475713,3.59475,4.36324,5.11122,1.02618,213.232
"age_curve[2,17]",4.49711,0.494439,3.70642,4.49476,5.26151,1.02439,244.115
"age_curve[2,18]",4.63223,0.51459,3.81732,4.62688,5.43691,1.02253,268.21
"age_curve[2,19]",4.77149,0.536235,3.92169,4.75724,5.61429,1.02063,298.237
"age_curve[2,20]",4.91503,0.559445,4.03743,4.90349,5.7921,1.01895,330.711
"age_curve[2,21]",5.06298,0.58429,4.13898,5.05176,5.98596,1.01753,355.517
"age_curve[2,22]",5.21548,0.610842,4.24836,5.21072,6.19036,1.01619,370.418
"age_curve[2,23]",5.37267,0.639173,4.36385,5.36821,6.40481,1.01491,382.586
"age_curve[2,24]",5.5347,0.669357,4.47523,5.52923,6.62589,1.0134,403.366
"age_curve[3,1]",2.80281,0.427976,2.08469,2.80818,3.45952,1.03241,112.14
"age_curve[3,2]",2.87252,0.432682,2.1485,2.87988,3.53384,1.03336,106.489
"age_curve[3,3]",2.94407,0.438034,2.20902,2.94776,3.59838,1.03434,100.914
"age_curve[3,4]",3.01752,0.444101,2.27068,3.02278,3.67584,1.03588,93.1403
"age_curve[3,5]",3.09291,0.450957,2.33312,3.09967,3.75976,1.03757,86.511
"age_curve[3,6]",3.17031,0.458677,2.3929,3.17724,3.84265,1.03797,85.0097
"age_curve[3,7]",3.24977,0.467338,2.46004,3.25555,3.9472,1.03904,81.4265
"age_curve[3,8]",3.33134,0.47702,2.51667,3.33739,4.04577,1.04017,77.539
"age_curve[3,9]",3.4151,0.487801,2.58147,3.42387,4.14255,1.0405,75.8839
"age_curve[3,10]",3.50108,0.499762,2.65898,3.50633,4.24843,1.04106,75.3104
"age_curve[3,11]",3.58937,0.51298,2.72284,3.59275,4.35726,1.04086,76.9703
"age_curve[3,12]",3.68003,0.527534,2.79805,3.68412,4.47675,1.04104,77.9646
"age_curve[3,13]",3.77311,0.543502,2.85906,3.77989,4.58802,1.04094,79.6906
"age_curve[3,14]",3.8687,0.560958,2.93435,3.87709,4.71589,1.04036,84.4383
"age_curve[3,15]",3.96686,0.579976,3.00555,3.9768,4.84537,1.0405,84.3563
"age_curve[3,16]",4.06766,0.600628,3.076,4.06899,4.99544,1.03984,87.9088
"age_curve[3,17]",4.17118,0.622985,3.14202,4.16482,5.12063,1.03917,92.0199
"age_curve[3,18]",4.2775,0.647117,3.2144,4.27018,5.27992,1.03892,94.1738
"age_curve[3,19]",4.3867,0.67309,3.28586,4.37511,5.43442,1.03783,100.411
"age_curve[3,20]",4.49885,0.700973,3.36026,4.48396,5.60556,1.03671,106.123
"age_curve[3,21]",4.61404,0.730832,3.43118,4.60407,5.78821,1.0358,113.702
"age_curve[3,22]",4.73236,0.762735,3.51245,4.7271,5.98278,1.03464,121.19
"age_curve[3,23]",4.85391,0.79675,3.57723,4.84136,6.16814,1.03406,126.074
"age_curve[3,24]",4.97876,0.832944,3.63773,4.95828,6.35554,1.03327,133.795
