nba_api_id,fg3m,fg3a,ftm,fta,3pt_pct_emp,ft_pct_emp,prior_mean,alpha_prior,beta_prior,alpha_post,beta_post,3pt_pct_eb,3pt_pct_eb_sd,name
101133,5,26,70,113,0.19230769230769232,0.6194690265486725,0.31548960884319915,4.849018918319896,10.520802408283279,9.849018918319896,31.52080240828328,0.2380725514999121,0.06543093955701852,Ian Mahinmi
101139,11,35,15,20,0.3142857142857143,0.75,0.3456099763946064,5.31196358587664,10.057857740726533,16.31196358587664,34.05785774072653,0.3238439834858291,0.06528859868719557,CJ Miles
101141,68,178,77,92,0.38202247191011235,0.8369565217391305,0.3656754239012181,5.620365928891598,9.749455397711575,73.6203659288916,119.74945539771157,0.3807231419247485,0.03482832959490877,Ersan Ilyasova
101150,217,590,509,590,0.3677966101694915,0.8627118644067797,0.371618537378812,5.711710521165943,9.65811080543723,222.71171052116594,382.6581108054372,0.3678936456282493,0.019583370123752476,Lou Williams
200746,106,283,288,340,0.3745583038869258,0.8470588235294118,0.36800655677330973,5.656195024624218,9.713626301978955,111.65619502462422,186.71362630197896,0.3742208060057204,0.027968586334883107,LaMarcus Aldridge
200752,283,831,306,366,0.3405535499398315,0.8360655737704918,0.36546983529971594,5.617206068819723,9.75261525778345,288.6172060688197,557.7526152577834,0.34100602218595183,0.01628490580644107,Rudy Gay
200755,246,575,214,237,0.42782608695652175,0.9029535864978903,0.38090442124405266,5.854432897034279,9.515388429568894,251.8544328970343,338.5153884295689,0.4266045177090851,0.020338095375062752,JJ Redick
200757,15,54,3,8,0.2777777777777778,0.375,0.25907773402234335,3.9819784816246373,11.387842844978536,18.981978481624637,50.387842844978536,0.2736345303854068,0.05314590677510266,Thabo Sefolosha
200765,108,302,62,84,0.3576158940397351,0.7380952380952381,0.3428629210812012,5.269741836535307,10.100079490067866,113.2697418365353,204.10007949006786,0.35690142611250414,0.026850165568042025,Rajon Rondo
200768,546,1489,698,812,0.3666890530557421,0.8596059113300493,0.370901830486992,5.700694864295125,9.669126462308048,551.7006948642951,952.6691264623081,0.36673209409225394,0.012420714970789237,Kyle Lowry
200782,282,751,124,160,0.3754993342210386,0.775,0.3513787925527573,5.400629259493441,9.969192067109732,287.4006292594934,478.96919206710976,0.3750155881164482,0.017476597938541418,P.J. Tucker
200794,111,302,203,263,0.3675496688741722,0.7718631178707225,0.35065494870021363,5.389503908811485,9.980317417791689,116.38950390881149,200.9803174177917,0.3667314788227322,0.027008601571423634,Paul Millsap
200826,32,85,20,22,0.3764705882352941,0.9090909090909091,0.3823206246737483,5.876199690710823,9.49362163589235,37.87619969071082,62.49362163589235,0.3773664154234344,0.048144153388670397,J.J. Barea
201142,293,719,889,981,0.40751043115438107,0.9062181447502549,0.38165772669987125,5.866011067294567,9.503810259308606,298.86601106729455,435.5038102593086,0.40696935302625553,0.018116175540277207,Kevin Durant
201143,389,1025,174,218,0.3795121951219512,0.7981651376146789,0.35672420935985116,5.4827873607346955,9.887033965868477,394.4827873607347,645.8870339658685,0.379175538615412,0.015034952920082396,Al Horford
201144,538,1356,506,612,0.3967551622418879,0.826797385620915,0.3633311763575535,5.584335263000145,9.785486063603027,543.5843352630002,827.785486063603,0.39638055819046714,0.013203899269909204,Mike Conley
201145,248,705,450,567,0.3517730496453901,0.7936507936507936,0.3556825125437587,5.466776666794863,9.903044659808309,253.46677666679486,466.9030446598083,0.3518564620045034,0.01778031204909906,Jeff Green
