param,mean,sd,q5,q50,q95,rhat,ess
"age_curve[2,2]",2.17948,0.200884,1.86295,2.1752,2.52159,1.01491,305.171
"age_curve[2,3]",2.14881,0.191248,1.85186,2.14401,2.46858,1.01324,331.27
"age_curve[2,4]",2.11864,0.182481,1.83242,2.11325,2.41722,1.01134,368.768
"age_curve[2,5]",2.08897,0.174617,1.81207,2.08591,2.37101,1.0094,413.813
"age_curve[2,6]",2.05979,0.167683,1.79532,2.06055,2.32656,1.00731,474.1
"age_curve[2,7]",2.0311,0.161708,1.77484,2.03349,2.29191,1.00526,552.626
"age_curve[2,8]",2.00287,0.156708,1.75511,2.00524,2.25859,1.00346,638.51
"age_curve[2,9]",1.9751,0.15269,1.73564,1.97693,2.22518,1.00265,757.608
"age_curve[2,10]",1.94779,0.149649,1.71325,1.94834,2.19662,1.0039,904.346
"age_curve[2,11]",1.92092,0.147563,1.68805,1.92271,2.16539,1.00643,1047.12
"age_curve[2,12]",1.8945,0.146397,1.66595,1.8948,2.14043,1.00884,1240.91
"age_curve[2,13]",1.8685,0.1461,1.64034,1.86381,2.11995,1.01212,1385.9
"age_curve[2,14]",1.84293,0.146608,1.61632,1.83696,2.10232,1.01051,1457.66
"age_curve[2,15]",1.81777,0.147851,1.58959,1.81297,2.08179,1.00997,1506.11
"age_curve[2,16]",1.79302,0.149751,1.56542,1.7893,2.05693,1.01102,1521.88
"age_curve[2,17]",1.76867,0.15223,1.53618,1.7588,2.03857,1.01209,1492.02
"age_curve[2,18]",1.74471,0.155209,1.51114,1.73412,2.02185,1.00622,1449.21
"age_curve[2,19]",1.72114,0.158615,1.48476,1.7093,2.00769,1.00439,1396.42
"age_curve[2,20]",1.69794,0.162378,1.45947,1.68411,1.99144,1.00524,1292.25
"age_curve[2,21]",1.67512,0.166436,1.43249,1.66192,1.97075,1.00656,1185.05
"age_curve[2,22]",1.65267,0.170732,1.40484,1.64099,1.96014,1.00791,1091.26
"age_curve[2,23]",1.63058,0.175217,1.37877,1.61799,1.94767,1.00907,1007.74
"age_curve[2,24]",1.60884,0.179849,1.35286,1.59442,1.93292,1.01044,908.523
"age_curve[3,1]",2.57647,0.313826,2.12682,2.56652,3.12111,1.00735,919.523
"age_curve[3,2]",2.51265,0.297837,2.08688,2.49624,3.03913,1.00681,944.384
"age_curve[3,3]",2.45053,0.283398,2.04933,2.4291,2.948,1.00622,970.887
"age_curve[3,4]",2.39008,0.270483,2.01074,2.3697,2.86708,1.00565,984.625
"age_curve[3,5]",2.33125,0.259064,1.96387,2.30593,2.79505,1.00508,992.434
"age_curve[3,6]",2.27399,0.249102,1.92691,2.24832,2.71991,1.00541,1005.17
"age_curve[3,7]",2.21826,0.24055,1.88565,2.19149,2.65334,1.00568,1022.79
"age_curve[3,8]",2.16401,0.233349,1.83994,2.13455,2.59963,1.00642,1030.62
"age_curve[3,9]",2.11121,0.22743,1.80108,2.0818,2.53601,1.00384,1011.45
"age_curve[3,10]",2.0598,0.22271,1.75574,2.0328,2.47789,1.00385,967.288
"age_curve[3,11]",2.00975,0.219099,1.70486,1.98225,2.42809,1.00404,936.321
"age_curve[3,12]",1.96103,0.2165,1.66243,1.93251,2.37565,1.00441,886.322
"age_curve[3,13]",1.91359,0.214808,1.61884,1.88286,2.32315,1.00503,832.43
"age_curve[3,14]",1.8674,0.213919,1.57544,1.8381,2.27184,1.00573,763.926
"age_curve[3,15]",1.82242,0.213728,1.52962,1.79739,2.22845,1.00636,708.76
"age_curve[3,16]",1.77863,0.214137,1.48175,1.7542,2.18279,1.00702,664.844
"age_curve[3,17]",1.73598,0.21505,1.43505,1.70867,2.13693,1.00776,620.109
"age_curve[3,18]",1.69444,0.216379,1.39177,1.67067,2.09744,1.00837,568.238
"age_curve[3,19]",1.65399,0.218046,1.3485,1.62959,2.05551,1.00913,517.207
"age_curve[3,20]",1.6146,0.219979,1.30398,1.59118,2.01632,1.00978,484.405
"age_curve[3,21]",1.57622,0.222116,1.26092,1.55328,1.97524,1.01049,457.85
"age_curve[3,22]",1.53885,0.2244,1.22022,1.51755,1.94527,1.01102,441.433
"age_curve[3,23]",1.50244,0.226785,1.18059,1.48178,1.91291,1.01166,423.783
"age_curve[3,24]",1.46697,0.229229,1.1422,1.44516,1.88189,1.01205,414.192
