coc_number,year,rent_coc,income_coc,homeless_per_10k,unsheltered_per_10k,total_population
GA-502,2015,1038.9998454354356,60182.17479884613,8.196011159051134,0.9183691150733828,577110.0
GA-502,2016,1125.6848471744456,63399.85293445427,8.369288350574415,1.0569908682920066,577110.0
GA-502,2017,1179.6753437617826,64916.84339647404,5.0770217116320975,1.5594947237095182,577110.0
GA-502,2018,1228.4708587814696,70782.05711015621,3.8467536518168113,1.5248392854048622,577110.0
GA-502,2019,1322.3373611716233,79837.51271928231,10.951118504271282,1.3169066555769264,577110.0
GA-502,2021,1432.4107352963292,82995.1344547883,1.4035452513385662,0.0,577110.0
GA-502,2022,1619.2077739333668,90150.7997589127,4.730467328585538,1.7500996343851258,577110.0
GA-502,2023,1772.9544151585583,95144.99645924947,5.839441354334529,2.2179480514979812,577110.0
GA-502,2024,1808.3111562322922,101167.59396501884,5.874096792639184,2.668468749458509,577110.0
GA-503,2012,757.0,32571.0,29.581192589132804,18.27314666863328,122037.0
GA-503,2013,763.0,31551.0,17.45372305120578,7.784524365561264,122037.0
GA-503,2014,805.0,29996.0,20.239763350459288,7.128985471619264,122037.0
GA-503,2015,800.0,31284.0,18.518973753861534,7.4567549185902635,122037.0
GA-503,2016,771.0,34999.0,18.355089030376032,6.227619492449011,122037.0
GA-503,2017,844.0,39825.0,19.584224456517287,7.620639642075764,122037.0
GA-503,2018,844.0,42232.0,17.37178068946303,3.769348640166507,122037.0
GA-503,2019,849.0,39799.0,19.420339733031785,4.506829895851258,122037.0
GA-503,2021,1048.0,50447.0,10.89833411178577,0.0,122037.0
GA-503,2022,1082.0,47171.0,23.18968837319829,6.063734768963511,122037.0
GA-503,2023,1281.0,54352.0,28.925653695190803,14.503798028466777,122037.0
GA-503,2024,1248.0,52565.0,31.62975163270156,14.831567475437778,122037.0
GA-504,2012,769.0,37154.0,19.660606301323615,0.24823997855206584,201418.0
GA-504,2013,776.0,35649.0,23.63244595815667,7.248607373720323,201418.0
GA-504,2014,766.0,35793.0,23.433853975315017,7.248607373720323,201418.0
GA-504,2015,799.0,41672.0,20.20673425413816,6.404591446643299,201418.0
GA-504,2016,801.0,41419.0,14.248974768888582,1.0426079099186767,201418.0
GA-504,2017,839.0,37324.0,12.21340694476164,2.333455798389419,201418.0
GA-504,2018,870.0,39413.0,13.355310846101142,2.333455798389419,201418.0
GA-504,2019,926.0,44973.0,19.064830352798655,7.99332730937652,201418.0
GA-504,2021,942.0,48048.0,7.149311382299497,0.0,201418.0
GA-504,2022,986.0,49915.0,27.25674964501683,15.788062635911388,201418.0
GA-504,2023,1149.0,51985.0,31.923661241795667,8.787695240743131,201418.0
GA-504,2024,1328.0,58723.0,23.533149966735845,15.837710631621801,201418.0
GA-505,2012,795.0,45178.0,12.860171700670815,2.124052382993678,258939.0
GA-505,2013,814.0,40499.0,11.354025465457115,2.3171480541749214,258939.0
GA-505,2014,820.0,42176.0,12.049169881709592,4.363962168696102,258939.0
GA-505,2015,844.0,41859.0,14.327698801648264,6.372157148981034,258939.0
GA-505,2016,845.0,40060.0,12.705695163725819,3.3212455443173874,258939.0
GA-505,2017,840.0,42107.0,12.319503821363334,2.819196799246155,258939.0
GA-505,2018,859.0,47288.0,10.65888104920464,3.0895307388998954,258939.0
GA-505,2019,885.0,46934.0,10.736119317677137,2.008194980284932,258939.0
GA-505,2021,923.0,52734.0,9.114115679754692,1.0427166243787147,258939.0
GA-505,2022,1043.0,53750.0,9.384449619408432,1.9695758460486834,258939.0
GA-505,2023,1004.0,51835.0,10.58164278073214,2.66472026230116,258939.0
GA-505,2024,1177.0,57010.0,10.504404512259645,2.008194980284932,258939.0
GA-506,2012,962.0,63069.0,5.381747090836202,0.6727183863545253,728388.0
GA-506,2013,967.0,63086.0,6.795828596846736,1.9769683190826868,728388.0
GA-506,2014,1028.0,67043.0,7.180239103335036,1.9769683190826868,728388.0
GA-506,2015,1075.0,70246.0,5.697512864023021,1.2493341460869756,728388.0
GA-506,2016,1111.0,70947.0,5.560223397420057,1.2493341460869756,728388.0
GA-506,2017,1165.0,75654.0,5.532765504099464,1.6200157059149793,728388.0
GA-506,2018,1236.0,78894.0,5.271915517553831,1.6200157059149793,728388.0
GA-506,2019,1255.0,79601.0,6.1917549437936925,1.7435762258576473,728388.0
