state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
SC,4287.0,1704.0,819.0,855.0,3432.0,1827.0,741.0,2020,5091517.0,,,,0.397480755773268,0.19104268719384185,0.1994401679496151,0.42617214835549333,0.1728481455563331,8.419887432370352
SC,3207.0,1165.0,396.0,778.0,2186.0,1522.0,509.0,2021,5190705.0,0.5086561047234885,0.2596282880366109,578676.0,0.3632678515746804,0.1234798877455566,0.24259432491425006,0.47458684128468975,0.15871531025880886,6.178351495606089
SC,3608.0,1234.0,698.0,866.0,2742.0,1888.0,474.0,2022,5282634.0,0.5215375290622942,0.2719892964438448,597530.0,0.3420177383592018,0.1934589800443459,0.24002217294900222,0.5232815964523282,0.13137472283813748,6.829926131547254
SC,4053.0,1327.0,815.0,816.0,3237.0,2130.0,584.0,2023,5373555.0,0.5206111540082735,0.2558480022977958,600375.0,0.32741179373303725,0.2010856155933876,0.20133234641006661,0.5255366395262768,0.14409079694053786,7.542492818999713
SC,4593.0,1846.0,894.0,890.0,3703.0,2049.0,668.0,2024,5478831.0,0.5256199399617939,0.2663313017374693,615532.0,0.4019159590681472,0.1946440235140431,0.19377313302852167,0.44611365120836055,0.14543871108208142,8.38317517003171
SD,579.0,41.0,104.0,311.0,268.0,269.0,269.0,2007,796215.0,0.39011744909212875,0.19170466044364604,99883.0,0.07081174438687392,0.17962003454231434,0.5371329879101899,0.46459412780656306,0.46459412780656306,7.271905201484524
SD,579.0,41.0,104.0,311.0,268.0,269.0,269.0,2008,804194.0,0.38881849857459616,0.1915810670166071,98531.0,0.07081174438687392,0.17962003454231434,0.5371329879101899,0.46459412780656306,0.46459412780656306,7.199755282929243
SD,731.0,64.0,109.0,286.0,445.0,371.0,296.0,2009,812383.0,0.4119801935830794,0.19789612833841191,101605.0,0.08755129958960328,0.1491108071135431,0.3912448700410397,0.5075239398084815,0.4049247606019152,8.99821882043322
SD,731.0,64.0,109.0,286.0,445.0,371.0,296.0,2010,816463.0,0.4165680732658516,0.2118553087068928,102134.0,0.08755129958960328,0.1491108071135431,0.3912448700410397,0.5075239398084815,0.4049247606019152,8.953253239889621
SD,826.0,64.0,34.0,366.0,460.0,371.0,391.0,2011,824082.0,0.3970501281124762,0.1890808751067604,101833.0,0.0774818401937046,0.04116222760290557,0.4430992736077482,0.4491525423728814,0.47336561743341404,10.023274382889081
