coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
CA-511,206249.0,282753.0,0.37093028329834327,784.0,1151.0,29254.0,0.040922698150686845,687036.0,797334.0,0.1605418056695719
CA-512,340075.0,420679.0,0.23701830478570904,1985.0,3352.0,32116.0,0.04255195111480918,721183.0,742340.0,0.029336520688923617
CA-513,183579.0,224889.0,0.22502573823803376,666.4889393667031,991.2245863514889,16370.0,0.027011864099137008,593859.0,631991.0,0.06421052808831726
CA-514,384000.0,473157.0,0.2321796875,726.0497395833333,1072.8032259905274,26582.0,0.023807775188396867,1081132.0,1177665.0,0.08928881949660171
CA-515,158588.0,218235.0,0.37611294675511386,897.6219259969229,1328.4617087085023,30326.0,0.06463204109034335,448595.0,521637.0,0.1628239280419978
CA-516,99235.0,109413.0,0.1025646193379352,717.9832720310375,1072.3473536051474,10913.0,0.03484499675912474,318124.0,313134.0,-0.01568570745998416
CA-517,67461.0,79646.0,0.1806228784038185,896.0,1333.0,4970.0,0.0352925303395042,136644.0,134869.0,-0.01298995931032464
CA-518,121461.0,139939.0,0.15213113674348144,947.0,1318.0,19963.0,0.04646924086816451,414209.0,451918.0,0.09103858197190308
CA-519,71311.0,78295.0,0.09793720463883553,703.0,1056.0,7622.0,0.03404548033071731,220101.0,207929.0,-0.05530188413501075
CA-520,70776.0,83841.0,0.18459647338080706,688.0,1021.0,9237.0,0.0348564722397274,256398.0,290201.0,0.13183800185648875
CA-521,91620.0,109138.0,0.19120279414974897,952.0,1404.0,9521.0,0.045409236375082866,200873.0,220564.0,0.09802711165761452
CA-522,45155.0,49789.0,0.10262429409810653,672.0,1021.0,3644.0,0.026956251571954845,134317.0,134541.0,0.0016676965685654087
CA-523,19255.0,21692.0,0.12656452869384577,674.286886522981,1055.6323068412319,1974.0,0.031575411488075245,63100.0,66338.0,0.051315372424722665
CA-524,42814.0,53545.0,0.2506423132620171,741.1662073153641,1109.1026426370343,10155.0,0.059981217107788996,166859.0,183364.0,0.09891585110782157
CA-525,47301.0,57979.0,0.22574575590368068,796.0,1234.0,9544.0,0.05215300546448087,180441.0,192662.0,0.0677285095959344
CA-526,40240.0,45896.0,0.14055666003976144,713.4433896620278,1050.0294579048284,7171.0,0.046790074318637076,156669.0,159256.0,0.01651252002629748
CA-527,15592.0,19801.0,0.2699461262185736,684.0,1068.0,2578.0,0.04091089423153217,63200.0,65167.0,0.031123417721518987
