coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
CA-518,1249.0,2163.0,69006.0,100401.0,14.47871954115029,40.154005158334805,914.0,31395.0,25.675285617184514
CA-519,885.0,1414.0,43339.0,67928.0,40.066643737409386,61.685657749567845,529.0,24589.0,21.61901401215846
CA-520,832.0,1343.0,43565.0,65510.0,18.943324742170784,31.584786472503875,511.0,21945.0,12.641461730333091
CA-521,1085.0,1857.0,57260.0,91752.0,24.466902909796776,44.92752931974379,772.0,34492.0,20.460626409947015
CA-522,869.0,1287.0,40830.0,61160.0,62.582296459587816,116.36164578124307,418.0,20330.0,53.77934932165525
CA-523,795.6521236133123,1121.0248726220266,44542.64025356577,66586.92806536224,48.46681702576899,39.66920997488683,325.3727490087143,22044.287811796472,-8.797607050882156
CA-524,869.4329643591295,1380.0086167404725,48834.860894527716,78168.84142470713,29.060323798160695,54.81296846482343,510.57565238134293,29333.98053017942,25.752644666662732
CA-525,1109.0,1715.0,70117.0,108845.0,11.857923497267759,15.519125683060109,606.0,38728.0,3.66120218579235
CA-526,970.8329535517556,1427.0771211131762,51850.49452667726,79568.30677651077,24.729379677539328,46.91404746213925,456.24416756142057,27717.812249833507,22.184667784599924
CA-527,824.0,1184.0,40307.0,63784.0,,51.416329445370145,360.0,23477.0,
CA-528,,,,,,,,,
CA-529,864.0,1368.0,38147.0,60621.0,,94.26306261314689,504.0,22474.0,
CA-530,991.922102091457,1370.4256593596137,52594.16031549096,85489.29066053787,,31.58427937188999,378.5035572681568,32895.130345046906,
CA-531,,,,,,,,,
CA-600,1187.0,1954.0,56241.0,90112.0,34.12403442490301,77.0026740749697,767.0,33871.0,42.878639650066695
CA-601,1282.0,2246.0,63373.0,106268.0,30.777449501376424,32.59710895456876,964.0,42895.0,1.8196594531923367
CA-602,1482.0,2434.0,75566.0,116289.0,22.380356878894812,23.376458354817093,952.0,40723.0,0.9961014759222806
CA-603,1326.0,2131.0,62723.0,98161.0,35.184742657517724,48.22540083523936,805.0,35438.0,13.040658177721639
CA-604,869.0,1300.0,47727.0,70210.0,15.516384590577468,30.63108762740478,431.0,22483.0,15.114703036827313
CA-606,1187.0,1954.0,56241.0,90112.0,66.69233374779358,71.02628351184578,767.0,33871.0,4.333949764052193
CA-607,1187.0,1954.0,56241.0,90112.0,65.80240353469549,40.47138978461359,767.0,33871.0,-25.331013750081894
CA-608,1163.0,1901.0,57096.0,93074.0,26.23185586937775,18.28398221604102,738.0,35978.0,-7.947873653336728
CA-609,1099.0,1801.0,54750.0,85478.0,12.018489106938922,20.196947531605495,702.0,30728.0,8.178458424666573
CA-611,1447.0,2317.0,76483.0,109797.0,22.843994259349312,27.96788082219402,870.0,33314.0,5.123886562844707
CA-612,1187.0,1954.0,56241.00000000001,90111.99999999999,15.109022461406301,8.843073346976933,767.0,33870.99999999998,-6.265949114429368
CA-613,725.0,1056.0,41255.0,57681.0,13.366367088536801,84.33674296867572,331.0,16426.0,70.97037588013892
CA-614,1197.0,1992.0,59628.0,97446.0,76.39586622649634,42.16305439931104,795.0,37818.0,-34.2328118271853
CO-500,858.7617473349776,1427.7341927190969,52734.642545180395,84022.34011053573,55.13393573033014,14.224472269109198,568.9724453841193,31287.697565355338,-40.90946346122094
CO-503,978.3383478134563,1903.0567634609326,64312.946852216526,106797.44452325413,21.212594369020405,47.64659644290349,924.7184156474764,42484.49767103761,26.434002073883082
CO-504,884.0,1696.0,57531.0,90363.0,16.943011646629213,17.228652481843014,812.0,32832.0,0.2856408352138011
CO-505,,,,,,,,,
CT-503,1279.0,,82614.00000000001,,10.516154305327563,8.312658558424115,,,-2.2034957469034477
CT-505,1003.6004499245464,1775.0,66712.23874204356,126257.00000000001,12.085420203153467,9.856177286938282,771.3995500754536,59544.76125795646,-2.2292429162151848
DC-500,1200.0,1954.0,64267.0,109870.0,105.52207936462173,85.21886651016906,754.0,45603.0,-20.303212854452667
DE-500,978.4041178450692,1378.163665758903,60432.83345646356,85679.6894567226,10.78426652544413,14.528803513445562,399.7595479138339,25246.85600025904,3.744536988001432
FL-500,969.6952090773883,1746.9591213249391,48444.0525553903,81019.45770510458,12.2567611808012,15.397473057749174,777.2639122475508,32575.40514971428,3.1407118769479734
FL-501,944.0,1667.0,49450.0,79540.0,56.07459682448024,14.307751959663173,723.0,30090.0,-41.76684486481707
FL-502,947.0,1642.0,46051.0,72646.0,42.26500402321116,22.457607274987545,695.0,26595.0,-19.807396748223617
FL-503,868.0,1363.0,43606.0,65978.0,13.81546862038197,18.9276624572089,495.0,22372.0,5.112193836826929
FL-504,921.8784636761961,1512.6909155278624,44184.04933498769,71355.4188656801,38.84488604794019,18.966211140856707,590.8124518516663,27171.369530692406,-19.878674907083486
FL-505,992.2042689184038,1647.7215795851737,51831.236344445424,81994.67706236416,94.74363259056605,15.19473352867569,655.5173106667698,30163.44071791874,-79.54889906189037
FL-506,844.8924186214196,1177.1498354600253,43694.27417400305,63924.78296889464,18.218433763306656,19.201360553547794,332.25741683860576,20230.50879489159,0.9829267902411374
FL-507,1026.3079048346642,1771.4116280007493,50230.45980268597,79669.47454618615,18.205579331271924,13.80461300836134,745.103723166085,29439.014743500178,-4.400966322910584
FL-508,798.7080034900079,1171.486354564962,40003.8010965095,59236.37996167534,43.971067328575856,18.228358672044678,372.77835107495423,19232.578865165837,-25.74270865653118
