coc_number,coc_name,total_population,overall_homeless,unsheltered_homeless,family_homeless,homeless_per_10k,unsheltered_per_10k,rent_coc,income_coc,saiz_elasticity,wrluri_coc
NC-507,Raleigh/Wake County CoC,998576.0,992.0,141.0,269.0,9.934146224223294,1.412010703241416,1623.0,105768.0,2.1094141006469727,0.2232988178730011
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",388649.0,466.0,216.0,121.0,11.990253416321668,5.557714029883005,1066.829465593997,68082.7992570954,3.0920333862304688,0.24693122506141663
NC-511,Fayetteville/Cumberland County CoC,325841.0,380.0,253.0,86.0,11.662129689020105,7.764523187689702,1222.0,61291.0,2.7050788402557373,-0.03375085070729256
NC-513,Chapel Hill/Orange County CoC,139807.0,148.0,33.0,32.0,10.586022159119358,2.3603968327766136,1496.0,90089.0,,
NC-516,Northwest North Carolina CoC,209988.0,336.0,191.0,90.0,16.00091433796217,9.095757852829685,868.3614889081941,53987.42611713213,,1.0563408136367798
ND-500,North Dakota Statewide CoC,736162.0,865.0,190.0,219.0,11.750131085277426,2.5809536487892606,930.8834897769102,76739.26456696325,4.937839801846983,-0.3467177924869217
NE-500,Nebraska Balance of State CoC,893187.0,612.0,30.0,210.0,6.851868645647553,0.33587591400233097,875.6848770291045,71769.02039191284,3.045356925623474,-0.492073647557457
NE-501,"Omaha, Council Bluffs CoC",808911.0,1609.0,224.0,309.0,19.890939794365515,2.7691550739203694,1211.3864277538742,84805.81328207508,3.470304012298584,-0.40138660823657585
NE-502,Lincoln CoC,251662.0,499.0,47.0,181.0,19.82818224443897,1.867584299576416,1085.0,74793.0,2.623462438583374,
NH-500,New Hampshire Balance of State CoC,922555.0,1258.0,387.0,348.0,13.636043379527509,4.19487185045878,1428.8761267540192,98108.68256667595,0.8581064939498901,-0.23684637081490573
NH-501,Manchester CoC,110231.0,627.0,159.0,204.0,56.88055084322922,14.424254520053342,1623.0,103545.0,,-0.21760182082653046
NH-502,Nashua/Hillsborough County CoC,294717.0,360.0,33.0,177.0,12.215108052809985,1.1197182381742485,1623.0,103545.0,,-0.21760182082653046
NJ-500,Atlantic City & County CoC,274026.0,427.0,168.0,74.0,15.582462977965594,6.130805106084824,1376.0,78050.0,,1.2792271375656128
NJ-501,Bergen County CoC,930310.0,303.0,40.0,105.0,3.2569788565101954,0.4299642054798938,1914.0,124884.0,0.7588299512863159,1.801362156867981
NJ-502,Burlington County CoC,450236.0,1054.0,60.0,536.0,23.409945006618752,1.332634440604483,1745.0,108111.0,1.6450508832931519,-0.009199189953505993
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1053579.0,1359.0,234.0,430.0,12.89889035373712,2.221000988060696,1417.9017346647488,90583.02008578632,1.6769164672089498,1.9052283595187023
NJ-504,Newark/Essex County CoC,792586.0,2451.0,284.0,721.0,30.924088994758925,3.583207374341712,1531.0,80789.0,0.7588299512863159,0.8744698762893677
NJ-506,"Jersey City, Bayonne/Hudson County CoC",668526.0,1168.0,212.0,350.0,17.471272620660976,3.171155646900794,1894.0,91795.0,0.7588299512863159,
NJ-507,New Brunswick/Middlesex County CoC,831852.0,689.0,149.0,280.0,8.282723369060841,1.7911840086938544,1871.0,111549.0,0.7588299512863159,1.940077781677246
NJ-508,Monmouth County CoC,627532.0,497.0,69.0,197.0,7.919914840996157,1.099545521184577,1827.0,124845.0,0.7588299512863159,-0.5144909024238586
NJ-509,Morris County CoC,498215.0,680.0,91.0,247.0,13.64872595164738,1.8265206788233996,1904.0,137326.0,0.7588299512863159,0.9510898590087891
NJ-510,Lakewood Township/Ocean County CoC,586166.0,553.0,37.0,243.0,9.43418758508682,0.631220507501288,1755.0,89863.0,0.7588299512863159,0.9564805030822754
NJ-511,Paterson/Passaic County CoC,507204.0,710.0,94.0,191.0,13.998312316148926,1.8532976869267592,1621.0,87522.0,0.7588299512863159,
NJ-512,Salem County CoC,64504.0,83.0,61.0,24.0,12.86741907478606,9.456777874240357,1253.0,79960.0,1.6450508832931519,
NJ-513,Somerset County CoC,331686.0,454.0,1.0,154.0,13.687644338319977,0.030148996339911843,2033.0,140374.0,0.7588299512863159,0.8195028305053711
NJ-514,Trenton/Mercer County CoC,371101.0,934.0,147.0,428.0,25.168350395175434,3.9611857688338215,1623.0,100645.0,1.881797194480896,2.0642476081848145
NJ-515,Elizabeth/Union County CoC,550436.0,996.0,70.0,434.0,18.094746709880894,1.2717191462767696,1730.0,103202.0,0.7588299512863159,
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",377497.0,404.0,50.0,154.0,10.702071804544142,1.3245138371960572,1568.8861267372602,120386.91337224934,1.0750461505306237,1.22383022197287
NM-500,Albuquerque CoC,524815.0,2740.0,1231.0,490.0,52.20887360307918,23.455884454522067,1144.0,69473.0,2.112380027770996,
NM-501,New Mexico Balance of State CoC,1557854.0,1891.0,1011.0,397.0,12.13849308086637,6.489696723826494,1049.7849104353359,63631.72264414822,2.1344391710185673,-0.015400519060811666
NV-500,Las Vegas/Clark County CoC,2070153.0,7906.0,4202.0,1485.0,38.19041394524946,20.298016620027603,1626.0,76472.0,1.3854960203170776,
NV-501,"Reno, Sparks/Washoe County CoC",439914.0,1760.0,363.0,162.0,40.00781971021609,8.251612815232068,1608.0,88096.0,1.3864644765853882,1.0688276290893555
NV-502,Nevada Balance of State CoC,329105.0,440.0,349.0,55.0,13.369593290895004,10.604518314823537,1245.9084289003645,77749.25837189547,1.3864644765853882,0.1580601930618286
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",749236.0,1056.0,80.0,415.0,14.094357452124566,1.067754352433679,1173.0,76382.0,1.403616189956665,-0.6736645102500916
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",316551.0,686.0,38.0,270.0,21.671073539492845,1.2004384759485833,926.3626268466277,66583.17910046053,2.6345620417977487,0.11037952999682263
NY-503,Albany City & County CoC,307891.0,1011.0,173.0,325.0,32.83629596188261,5.6188716136554815,1313.0,85333.0,1.700387954711914,0.9108928442001343
NY-504,Cattaraugus County CoC,,,,,,,770.0,59540.0,,0.39986443519592285
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",667346.0,1192.0,52.0,567.0,17.86179882699529,0.7792059890971101,1064.1893917950447,74544.23700661263,2.2087793350219727,0.18973151245686437
NY-507,Schenectady City & County CoC,154845.0,362.0,18.0,134.0,23.378216926604026,1.1624527753560012,1194.0,79623.0,1.700387954711914,
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",1273493.0,1549.0,21.0,523.0,12.163396265232711,0.16490078861839053,1036.2525803900048,72013.36666752245,1.812975909528651,-0.19800459794283606
NY-510,Ithaca/Tompkins County CoC,104268.0,210.0,16.0,22.0,20.140407411669926,1.5345072313653279,1411.0,74024.0,,-0.4546927213668823
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",452488.0,800.0,68.0,208.0,17.68002687364085,1.5028022842594722,937.2939326950028,65485.7961930724,2.2594265937805176,-0.459698137901436
NY-512,Troy/Rensselaer County CoC,159959.0,270.0,25.0,164.0,16.879325327115072,1.5629004932513957,1217.0,87915.0,1.700387954711914,-0.3623593747615814
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",261466.0,426.0,0.0,157.0,16.292749344082978,0.0,1022.1045057471264,76618.67118773947,1.403616189956665,-0.18596010978831162
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",131748.0,219.0,6.0,115.0,16.62264322798069,0.4554148829583751,812.0,58351.0,2.8684937953948975,-0.2493235319852829
NY-516,Clinton County CoC,,,,,,,1003.0,71224.0,,-0.2697409987449646
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",308074.0,369.0,104.0,147.0,11.977641735427202,3.375812304835851,939.2136753709043,71339.90181746321,2.6597745091651275,-0.615286581759211
NY-519,"Columbia, Greene Counties CoC",109929.0,158.0,12.0,29.0,14.372913425938561,1.0916136779193844,1148.1502548175727,79962.54048051314,,-0.8427191376686096
NY-520,"Franklin, Essex Counties CoC",89605.0,56.0,0.0,10.0,6.249651247140227,0.0,883.2125398893257,68027.74323823638,,0.21116323743428844
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",256602.0,200.0,31.0,37.0,7.794171518538437,1.2080965853734578,1002.6175880870966,65015.24719033403,,-1.3567962869212946
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",357002.0,529.0,14.0,180.0,14.817844157735811,0.3921546658001916,1276.9606157894168,91912.49804283564,2.678740618287633,-0.13104881039848904
NY-525,New York Balance of State,,948.0,64.0,329.0,,,,,,
NY-600,New York City CoC,8461961.0,140134.0,4397.0,87455.0,165.60463939741626,5.196195066368186,1868.665118194064,82240.97680850803,0.7588299512863159,
NY-601,Poughkeepsie/Dutchess County CoC,295905.0,705.0,47.0,328.0,23.825214173467838,1.5883476115645225,1582.0,99478.0,,0.08666514605283737
