cycle_or_week,period_label,year,geography,geo_type,eviction_risk_share,behind_on_rent_share
wk45,2022 Week 45,2022,NV,state,0.833771,0.096229
wk45,2022 Week 45,2022,NY,state,0.408379,0.226208
wk45,2022 Week 45,2022,New York Metro Area,metro,0.405813,0.245651
wk45,2022 Week 45,2022,OH,state,0.52758,0.108785
wk45,2022 Week 45,2022,OK,state,0.392737,0.147214
wk45,2022 Week 45,2022,OR,state,0.634939,0.089265
wk45,2022 Week 45,2022,PA,state,0.239406,0.137133
wk45,2022 Week 45,2022,Philadelphia Metro Area,metro,0.428757,0.127797
wk45,2022 Week 45,2022,Phoenix Metro Area,metro,0.520992,0.039659
wk45,2022 Week 45,2022,RI,state,0.615752,0.106993
wk45,2022 Week 45,2022,Riverside Metro Area,metro,0.455229,0.164389
wk45,2022 Week 45,2022,SC,state,0.695144,0.231377
wk45,2022 Week 45,2022,SD,state,0.53995,0.161387
wk45,2022 Week 45,2022,San Francisco Metro Area,metro,0.640062,0.132827
wk45,2022 Week 45,2022,Seattle Metro Area,metro,0.435933,0.14612
wk45,2022 Week 45,2022,TN,state,0.615408,0.101873
wk45,2022 Week 45,2022,TX,state,0.280397,0.138887
wk45,2022 Week 45,2022,US,US,0.476198,0.146094
wk45,2022 Week 45,2022,UT,state,0.094999,0.109228
wk45,2022 Week 45,2022,VA,state,0.332371,0.122518
wk45,2022 Week 45,2022,VT,state,,0.062579
wk45,2022 Week 45,2022,WA,state,0.446774,0.120708
wk45,2022 Week 45,2022,WI,state,,0.051483
wk45,2022 Week 45,2022,WV,state,0.863867,0.103355
wk45,2022 Week 45,2022,WY,state,0.257006,0.084809
wk45,2022 Week 45,2022,Washington DC Metro Area,metro,0.319511,0.129047
wk46,2022 Week 46,2022,AK,state,0.369509,0.128284
wk46,2022 Week 46,2022,AL,state,0.434911,0.163119
wk46,2022 Week 46,2022,AR,state,0.847122,0.238539
wk46,2022 Week 46,2022,AZ,state,0.450279,0.10496
wk46,2022 Week 46,2022,Atlanta Metro Area,metro,0.502994,0.239421
wk46,2022 Week 46,2022,Boston Metro Area,metro,0.337763,0.140564
wk46,2022 Week 46,2022,CA,state,0.419934,0.130931
wk46,2022 Week 46,2022,CO,state,0.40014,0.111558
wk46,2022 Week 46,2022,CT,state,0.273106,0.156065
wk46,2022 Week 46,2022,Chicago Metro Area,metro,0.418758,0.208981
wk46,2022 Week 46,2022,DC,state,,0.05476
wk46,2022 Week 46,2022,DE,state,0.580072,0.172631
wk46,2022 Week 46,2022,Dallas Metro Area,metro,0.139103,0.14
wk46,2022 Week 46,2022,Detroit Metro Area,metro,0.328585,0.14
wk46,2022 Week 46,2022,FL,state,0.489039,0.117237
wk46,2022 Week 46,2022,GA,state,0.489623,0.239601
wk46,2022 Week 46,2022,HI,state,0.099829,0.197011
wk46,2022 Week 46,2022,Houston Metro Area,metro,0.527771,0.157846
wk46,2022 Week 46,2022,IA,state,0.611528,0.184182
wk46,2022 Week 46,2022,ID,state,0.606801,0.141344
wk46,2022 Week 46,2022,IL,state,0.422758,0.160529
wk46,2022 Week 46,2022,IN,state,0.5984,0.089397
wk46,2022 Week 46,2022,KS,state,0.445473,0.114599
wk46,2022 Week 46,2022,KY,state,0.26112,0.19787
wk46,2022 Week 46,2022,LA,state,0.566041,0.144228
wk46,2022 Week 46,2022,Los Angeles Metro Area,metro,0.485586,0.172561
wk46,2022 Week 46,2022,MA,state,0.334538,0.13568
wk46,2022 Week 46,2022,MD,state,0.313051,0.214637
wk46,2022 Week 46,2022,ME,state,,0.067167
wk46,2022 Week 46,2022,MI,state,0.313038,0.096821
wk46,2022 Week 46,2022,MN,state,0.236247,0.090833
wk46,2022 Week 46,2022,MO,state,0.372407,0.134098
wk46,2022 Week 46,2022,MS,state,0.782324,0.218801
wk46,2022 Week 46,2022,MT,state,,0.023694
wk46,2022 Week 46,2022,Miami Metro Area,metro,0.562592,0.162476
wk46,2022 Week 46,2022,NC,state,0.59295,0.160625
wk46,2022 Week 46,2022,ND,state,0.265072,0.128347
wk46,2022 Week 46,2022,NE,state,0.460793,0.123245
wk46,2022 Week 46,2022,NH,state,0.284665,0.080376
wk46,2022 Week 46,2022,NJ,state,0.330211,0.159892
wk46,2022 Week 46,2022,NM,state,0.642754,0.108436
wk46,2022 Week 46,2022,NV,state,0.563984,0.120452
wk46,2022 Week 46,2022,NY,state,0.212993,0.145843
wk46,2022 Week 46,2022,New York Metro Area,metro,0.29054,0.140863
wk46,2022 Week 46,2022,OH,state,0.311672,0.174648
wk46,2022 Week 46,2022,OK,state,0.632832,0.1183
wk46,2022 Week 46,2022,OR,state,0.342793,0.109835
wk46,2022 Week 46,2022,PA,state,0.343226,0.24485
wk46,2022 Week 46,2022,Philadelphia Metro Area,metro,0.185675,0.278951
wk46,2022 Week 46,2022,Phoenix Metro Area,metro,0.380082,0.122636
wk46,2022 Week 46,2022,RI,state,0.604888,0.190726
wk46,2022 Week 46,2022,Riverside Metro Area,metro,0.415971,0.113665
wk46,2022 Week 46,2022,SC,state,0.775447,0.265929
wk46,2022 Week 46,2022,SD,state,0.502599,0.176179
wk46,2022 Week 46,2022,San Francisco Metro Area,metro,0.301835,0.106857
wk46,2022 Week 46,2022,Seattle Metro Area,metro,0.32094,0.111901
wk46,2022 Week 46,2022,TN,state,0.59299,0.102284
wk46,2022 Week 46,2022,TX,state,0.293455,0.103899
wk46,2022 Week 46,2022,US,US,0.414362,0.139357
wk46,2022 Week 46,2022,UT,state,0.561754,0.071741
wk46,2022 Week 46,2022,VA,state,0.366863,0.10589
wk46,2022 Week 46,2022,VT,state,,0.160471
wk46,2022 Week 46,2022,WA,state,0.435578,0.107285
wk46,2022 Week 46,2022,WI,state,0.65315,0.087917
wk46,2022 Week 46,2022,WV,state,0.241843,0.176666
wk46,2022 Week 46,2022,WY,state,1.0,0.05889
wk46,2022 Week 46,2022,Washington DC Metro Area,metro,0.27415,0.149672
wk47,2022 Week 47,2022,AK,state,0.308175,0.112512
wk47,2022 Week 47,2022,AL,state,0.637603,0.157617
wk47,2022 Week 47,2022,AR,state,0.520133,0.145049
wk47,2022 Week 47,2022,AZ,state,0.54315,0.123133
wk47,2022 Week 47,2022,Atlanta Metro Area,metro,0.955518,0.218061
wk47,2022 Week 47,2022,Boston Metro Area,metro,0.414796,0.115262
wk47,2022 Week 47,2022,CA,state,0.529387,0.155741
wk47,2022 Week 47,2022,CO,state,0.63709,0.065383
wk47,2022 Week 47,2022,CT,state,0.442025,0.166061
wk47,2022 Week 47,2022,Chicago Metro Area,metro,0.272833,0.211661
wk47,2022 Week 47,2022,DC,state,0.501017,0.147901
wk47,2022 Week 47,2022,DE,state,0.405468,0.092614
wk47,2022 Week 47,2022,Dallas Metro Area,metro,0.559779,0.077866
wk47,2022 Week 47,2022,Detroit Metro Area,metro,0.577375,0.188012
wk47,2022 Week 47,2022,FL,state,0.598143,0.188105
wk47,2022 Week 47,2022,GA,state,0.824522,0.172567
wk47,2022 Week 47,2022,HI,state,0.333246,0.165746
wk47,2022 Week 47,2022,Houston Metro Area,metro,0.390837,0.131595
wk47,2022 Week 47,2022,IA,state,0.410661,0.088937
wk47,2022 Week 47,2022,ID,state,0.477965,0.065997
wk47,2022 Week 47,2022,IL,state,0.293911,0.178108
wk47,2022 Week 47,2022,IN,state,0.464724,0.087037
wk47,2022 Week 47,2022,KS,state,0.267,0.082434
wk47,2022 Week 47,2022,KY,state,0.663499,0.187901
wk47,2022 Week 47,2022,LA,state,0.774504,0.298462
wk47,2022 Week 47,2022,Los Angeles Metro Area,metro,0.553205,0.165166
wk47,2022 Week 47,2022,MA,state,0.425353,0.127073
wk47,2022 Week 47,2022,MD,state,0.732358,0.170958
wk47,2022 Week 47,2022,ME,state,0.522366,0.087691
wk47,2022 Week 47,2022,MI,state,0.639599,0.18771
wk47,2022 Week 47,2022,MN,state,,0.095303
wk47,2022 Week 47,2022,MO,state,0.589527,0.127652
wk47,2022 Week 47,2022,MS,state,0.672896,0.162396
wk47,2022 Week 47,2022,MT,state,0.462206,0.11814
wk47,2022 Week 47,2022,Miami Metro Area,metro,0.694429,0.238189
wk47,2022 Week 47,2022,NC,state,0.568825,0.18985
wk47,2022 Week 47,2022,ND,state,,0.055743
wk47,2022 Week 47,2022,NE,state,0.392111,0.146158
wk47,2022 Week 47,2022,NH,state,0.239079,0.082843
wk47,2022 Week 47,2022,NJ,state,0.629818,0.181249
wk47,2022 Week 47,2022,NM,state,0.855114,0.210538
wk47,2022 Week 47,2022,NV,state,0.423225,0.180874
wk47,2022 Week 47,2022,NY,state,0.081013,0.18378
wk47,2022 Week 47,2022,New York Metro Area,metro,0.22226,0.186812
wk47,2022 Week 47,2022,OH,state,0.305865,0.128074
wk47,2022 Week 47,2022,OK,state,0.53457,0.055002
wk47,2022 Week 47,2022,OR,state,0.37954,0.105806
wk47,2022 Week 47,2022,PA,state,0.387182,0.103354
wk47,2022 Week 47,2022,Philadelphia Metro Area,metro,0.355845,0.143171
wk47,2022 Week 47,2022,Phoenix Metro Area,metro,0.480679,0.150155
wk47,2022 Week 47,2022,RI,state,0.250436,0.130677
wk47,2022 Week 47,2022,Riverside Metro Area,metro,0.296827,0.159583
wk47,2022 Week 47,2022,SC,state,0.639443,0.146952
wk47,2022 Week 47,2022,SD,state,0.682364,0.071556
wk47,2022 Week 47,2022,San Francisco Metro Area,metro,0.516771,0.116919
