# contract_version=1.1 mode=production target_season=2025-26 train_seasons=2019-20-2020-21-2021-22-2022-23-2023-24-2024-25 source=v6.1_LOCKED_forward_rookie_aware note=as_if_25-26_unplayed
source,player_name,team,position,nba_api_id,games_proj,minutes_proj,PTS_proj,PTS_stddev_per_game,REB_proj,REB_stddev_per_game,AST_proj,AST_stddev_per_game,STL_proj,STL_stddev_per_game,BLK_proj,BLK_stddev_per_game,TOV_proj,TOV_stddev_per_game,FGM_proj,FGM_stddev_per_game,FGA_proj,FGA_stddev_per_game,FG_pct_proj,FTM_proj,FTM_stddev_per_game,FTA_proj,FTA_stddev_per_game,FT_pct_proj,3PM_proj,3PM_stddev_per_game,3PA_proj,3PA_stddev_per_game,3P_pct_proj,projection_method,years_in_league,draft_year,draft_pick,draft_round,pre_nba_league,pre_nba_team,cohort_size_n,auction_value_seed,resolve_value
nba_projections,Markelle Fultz,SAC,Guard,1628365,21.0,8.7143,2.7286,0.6753,1.0999,0.1758,1.5229,0.2244,0.4230,0.0708,0.0846,0.0389,0.4230,0.1155,1.2085,0.2393,2.5665,0.4827,0.4709,0.2137,0.2097,0.2755,0.2519,0.7755,0.0980,0.0516,0.2774,0.2590,0.3534,cohort_regression,8,2017,1,1,NCAA_D1,Washington,,1.00,1.00
nba_projections,Lonzo Ball,CHI,Guard,1628366,35.0,22.1429,8.5763,1.8554,2.9867,0.4468,2.6262,0.5702,1.0299,0.1800,0.4120,0.0987,1.0299,0.2936,2.8588,0.7181,7.3267,1.2489,0.3902,0.7067,0.5624,0.8958,0.6401,0.7888,2.1521,0.3222,6.1755,0.6988,0.3485,cohort_regression,8,2017,2,1,NCAA_D1,UCLA,,1.00,1.00
nba_projections,Jonathan Isaac,ORL,Forward,1628371,71.0,15.3380,5.0010,1.3353,4.4602,0.4280,0.7380,0.3235,1.0268,0.1247,1.0910,0.1033,0.4813,0.2034,1.7860,0.5248,4.0750,0.9371,0.4383,0.9106,0.2909,1.2587,0.4434,0.7235,0.5183,0.2530,1.7052,0.6034,0.3040,cohort_regression,8,2017,6,1,NCAA_D1,Florida St.,,1.00,1.00
nba_projections,Zach Collins,SAS,Forward,1628380,64.0,15.3281,6.6276,1.3025,5.0916,0.4278,1.6528,0.3233,0.3999,0.1246,0.4265,0.1033,0.9863,0.2032,2.5097,0.4720,5.0347,0.8963,0.4985,1.0943,0.3984,1.3273,0.4431,0.8244,0.5140,0.2383,1.5881,0.5384,0.3236,cohort_regression,8,2017,10,1,NCAA_D1,Gonzaga,,1.00,1.00
nba_projections,Isaiah Hartenstein,OKC,Center,1628392,57.0,27.8772,11.0390,2.3488,9.7193,0.7780,3.5788,0.7179,0.9041,0.2266,1.0548,0.1878,1.5822,0.3696,5.0078,0.9044,8.7227,1.8322,0.5741,1.5906,0.9441,2.2289,0.8058,0.7137,0.0198,0.2574,0.0691,1.2878,0.2860,cohort_regression,7,2017,43,2,G_LEAGUE,RGV,,8.80,8.80
nba_projections,Tony Bradley,IND,Center,1628396,13.0,8.6923,4.1172,0.7438,3.1538,0.2426,0.4615,0.2238,0.1538,0.0707,0.6923,0.0586,0.3846,0.1152,2.2364,0.2730,4.0858,0.5034,0.5474,0.1542,0.2097,0.2107,0.2513,0.7321,0.0771,0.1335,0.2151,0.2972,0.3585,cohort_regression,8,2017,28,1,NCAA_D1,UNC,,1.00,1.00
nba_projections,Thomas Bryant,IND,Center,1628418,66.0,14.5909,6.1381,1.2765,3.7976,0.4072,0.7709,0.3757,0.3426,0.1186,0.5711,0.0983,0.5140,0.1934,2.5954,0.4741,4.9618,0.7869,0.5231,0.9018,0.3696,1.1132,0.4218,0.8101,0.6326,0.2153,1.8867,0.3924,0.3353,cohort_regression,8,2017,42,2,NCAA_D1,Indiana,,1.00,1.00
nba_projections,Monte Morris,PHX,Guard,1628420,45.0,12.7111,5.2781,1.0700,1.5035,0.2565,1.5035,0.3273,0.4556,0.1033,0.0000,0.0567,0.4100,0.1685,1.9312,0.3978,4.4083,0.7357,0.4381,0.6839,0.2870,0.8538,0.3674,0.8011,0.7317,0.1955,1.9813,0.4338,0.3693,cohort_regression,8,2017,51,2,NCAA_D1,Iowa St.,,1.00,1.00
nba_projections,Vlatko Čančar,DEN,Forward,1628427,13.0,10.3846,1.9990,0.9205,2.4615,0.2898,0.6923,0.2190,0.2308,0.0844,0.1538,0.0700,0.8462,0.1377,0.7587,0.3063,1.6629,0.6264,0.4563,0.1790,0.2499,0.2268,0.3002,0.7896,0.3025,0.1564,0.8505,0.3958,0.3557,cohort_regression,6,,,,G_LEAGUE,ERI,,1.00,1.00
nba_projections,Luke Kornet,BOS,Center,1628436,72.0,18.9444,5.9058,1.5962,4.9748,0.5287,1.5829,0.4878,0.4271,0.1540,0.8543,0.1276,0.4020,0.2512,2.7584,0.5480,4.3455,1.0410,0.6348,0.9676,0.5663,1.2938,0.5476,0.7479,0.0084,0.2064,0.0244,0.5472,0.3461,cohort_regression,8,,,,G_LEAGUE,MNE,,4.40,4.40
nba_projections,Chris Boucher,TOR,Forward,1628449,50.0,17.2800,10.1955,1.4036,4.5518,0.4822,0.7586,0.3644,0.4636,0.1405,0.2529,0.1164,0.5479,0.2291,3.6739,0.5409,7.5067,0.9390,0.4894,1.5642,0.5935,2.0111,0.4995,0.7778,1.2836,0.1792,3.6027,0.4787,0.3563,cohort_regression,8,,,,G_LEAGUE,RAP,,1.00,1.00
nba_projections,Daniel Theis,NOP,Forward,1628464,38.0,16.3684,4.5763,1.4843,4.6767,0.4568,1.6836,0.3452,0.5144,0.1331,0.3741,0.1103,0.6080,0.2170,1.8084,0.6076,3.6597,1.0282,0.4941,0.6743,0.2704,0.8518,0.4731,0.7916,0.2851,0.3821,0.8570,0.6868,0.3326,cohort_regression,8,,,,,,,1.00,1.00
nba_projections,Torrey Craig,BOS,Forward,1628470,26.0,12.0000,2.7923,1.0431,3.1463,0.3349,0.7317,0.2531,0.4390,0.0976,0.5122,0.0808,0.5122,0.1591,1.0075,0.3859,2.3163,0.7603,0.4349,0.2111,0.1666,0.2795,0.3469,0.7551,0.5663,0.2032,1.5456,0.5132,0.3664,cohort_regression,8,,,,G_LEAGUE,SXF,,1.00,1.00
nba_projections,Grayson Allen,PHX,Guard,1628960,64.0,24.1250,10.1327,2.0258,2.9214,0.4868,2.4816,0.6213,0.7539,0.1961,0.3141,0.1076,1.2565,0.3199,3.3024,0.7468,7.1859,1.3838,0.4596,1.3756,0.6355,1.6759,0.6974,0.8208,2.1523,0.3567,5.0988,0.8018,0.4221,cohort_regression,7,2018,21,1,NCAA_D1,Duke,,10.31,10.31
nba_projections,Marvin Bagley III,WAS,Forward,1628963,31.0,8.6452,3.9844,0.9379,2.6397,0.2413,0.3300,0.1823,0.2640,0.0703,0.1980,0.0582,0.1320,0.1146,1.6205,0.3228,3.0274,0.4617,0.5353,0.6618,0.1605,0.8861,0.2499,0.7469,0.0817,0.1639,0.2518,0.2233,0.3243,cohort_regression,7,2018,2,1,NCAA_D1,Duke,,1.00,1.00
nba_projections,Mo Bamba,LAC,Center,1628964,32.0,12.9375,4.2586,1.1010,5.2870,0.3611,0.4354,0.3332,0.0622,0.1052,0.7464,0.0872,0.6220,0.1715,1.8172,0.4027,3.8597,0.7528,0.4708,0.6476,0.3241,0.8781,0.3740,0.7375,0.5635,0.1995,1.6759,0.4482,0.3363,cohort_regression,7,2018,6,1,G_LEAGUE,BHM,,1.00,1.00
nba_projections,Jevon Carter,CHI,Guard,1628975,36.0,8.9167,4.4419,0.7836,1.0542,0.1799,1.1420,0.2296,0.3514,0.0725,0.0878,0.0398,0.2196,0.1182,1.6350,0.3131,4.0706,0.4840,0.4017,0.1813,0.4429,0.2325,0.2577,0.7799,0.9906,0.1400,2.8107,0.2460,0.3524,cohort_regression,7,2018,32,2,NCAA_D1,West Virginia,,1.00,1.00
