nba_api_id,real_id,name,cohort,pos_class,ypb,gp_train,gp_eval,K_prior,v6_3_A_qualifies,PTS_v6_1_proj,PTS_v6_3_A_proj,PTS_pg_train,PTS_pg_eval,REB_v6_1_proj,REB_v6_3_A_proj,REB_pg_train,REB_pg_eval,AST_v6_1_proj,AST_v6_3_A_proj,AST_pg_train,AST_pg_eval
1630559,1630559,Austin Reaves,vet,Guard,4-7,23,28,50.0,True,21.74912664192135,23.28022372734339,26.608695652173914,20.535714285714285,4.9050764233648,5.003477002304658,5.217391304347826,4.285714285714286,5.459322346908846,5.7118646211704425,6.260869565217392,4.857142857142857
1630560,1630560,Cam Thomas,vet,Guard,4-7,10,32,50.0,True,25.77265069318868,25.043875577657232,21.4,11.03125,3.8169047619047616,3.4140873015873012,1.4,1.78125,5.027142857142858,4.639285714285715,2.7,2.53125
1630567,1630567,Scottie Barnes,vet,Forward,4-7,30,50,50.0,True,19.74508103492407,19.490675646827544,19.066666666666666,17.52,7.698798564518644,7.811749102824152,8.0,7.2,5.365829302543298,5.253643314089561,5.066666666666666,6.44
1630568,1630568,Luka Garza,vet,Center,4-7,22,47,50.0,True,2.867654232669052,4.046982106020175,6.7272727272727275,8.702127659574469,1.4539473684210529,2.2457967836257313,4.045454545454546,4.085106382978723,0.4361842105263158,0.6084612573099415,1.0,0.9361702127659575
1630570,1630570,Trendon Watford,vet,Guard,4-7,14,39,50.0,True,10.046051314894129,9.801602589761039,8.928571428571429,5.666666666666667,3.7437190622956944,3.9560305174185113,4.714285714285714,2.7948717948717947,2.9779583450079383,3.107779957037452,3.5714285714285716,2.1025641025641026
1630572,1630572,Sandro Mamukelashvili,vet,Forward,4-7,29,51,50.0,True,6.534128772635815,7.932992894073299,10.344827586206897,11.627450980392156,2.9840375586854457,3.559517442205978,4.551724137931035,5.1568627450980395,0.8792253521126759,1.138750222856124,1.5862068965517242,2.0588235294117645
1630573,1630573,Sam Hauser,vet,Forward,4-7,30,48,50.0,True,8.739194934556227,8.236996834097642,7.4,10.354166666666666,3.131189107518105,3.2694931921988157,3.5,4.0625,0.6690575016064328,0.9181609385040204,1.3333333333333333,1.5416666666666667
1630574,1630574,Ariel Hukporti,soph,Center,1-3,18,35,25.0,True,1.387857142857143,1.3882890365448504,1.3888888888888888,2.6285714285714286,2.221714285714286,2.384717607973422,2.611111111111111,3.2,0.4114285714285715,0.49501661129568103,0.6111111111111112,0.5142857142857142
1630577,1630577,Julian Champagnie,soph,Forward,1-3,30,52,50.0,True,9.84525073255823,9.915781707848893,10.033333333333333,11.73076923076923,3.8912650250904433,4.519540640681527,5.566666666666666,5.884615384615385,1.6636567860893925,1.5897854913058702,1.4666666666666666,1.5961538461538463
1630578,1630578,Alperen Sengun,vet,Center,4-7,26,46,50.0,True,18.33407563872212,19.825049762317185,22.692307692307693,19.043478260869566,10.224056707130025,9.923721517848701,9.346153846153847,8.630434782608695,4.757208904859985,5.44553217424999,6.769230769230769,5.8478260869565215
1630579,1630579,Jericho Sims,vet,Center,4-7,23,43,50.0,True,1.461435268146994,2.110572101470544,3.5217391304347827,5.883720930232558,3.932995714842229,4.036298434823445,4.260869565217392,6.325581395348837,0.6964679911699779,0.7236082131301219,0.782608695652174,2.0
1630581,1630581,Josh Giddey,vet,Guard,4-7,28,26,50.0,True,15.403447628134328,16.963748479573287,19.75,14.076923076923077,8.260897674996889,8.590319022433903,9.178571428571429,7.346153846153846,7.050702474201168,7.827373380898185,9.214285714285714,9.076923076923077
1630583,1630583,Santi Aldama,vet,Forward,4-7,30,13,50.0,True,11.944396879454128,12.852748049658828,14.366666666666667,13.153846153846153,5.57883914384522,5.9492744649032625,6.566666666666666,6.923076923076923,2.9443873259183104,2.965242078698944,3.0,2.769230769230769
