nba_api_id,season,mins,games,mpg,mpg_over_48,position
200752,2019-20,1460,67,21.791044776119403,0.4539800995024876,F
200752,2020-21,1356,63,21.523809523809526,0.44841269841269843,F
200752,2021-22,1037,55,18.854545454545455,0.3928030303030303,F
200752,2022-23,816,56,14.571428571428571,0.30357142857142855,F
200755,2019-20,1581,60,26.35,0.5489583333333333,G
200755,2020-21,723,44,16.431818181818183,0.34232954545454547,G
200757,2019-20,431,41,10.512195121951219,0.2190040650406504,F
200765,2019-20,984,48,20.5,0.4270833333333333,G
200765,2020-21,769,45,17.08888888888889,0.3560185185185185,G
200765,2021-22,699,39,17.923076923076923,0.3733974358974359,G
200768,2019-20,2103,58,36.258620689655174,0.7553879310344828,G
200768,2020-21,1604,46,34.869565217391305,0.7264492753623188,G
200768,2021-22,2129,63,33.79365079365079,0.7040343915343915,G
200768,2022-23,1717,55,31.21818181818182,0.6503787878787879,G
200768,2023-24,1691,60,28.183333333333334,0.5871527777777777,G
200782,2019-20,2469,72,34.291666666666664,0.7144097222222222,F
200782,2020-21,1355,52,26.057692307692307,0.5428685897435898,F
200782,2021-22,1985,71,27.95774647887324,0.5824530516431925,F
200782,2022-23,1917,75,25.56,0.5325,F
200782,2023-24,487,31,15.709677419354838,0.3272849462365591,F
200794,2019-20,1244,51,24.392156862745097,0.5081699346405228,F
200794,2020-21,1166,56,20.821428571428573,0.4337797619047619,F
200794,2021-22,375,33,11.363636363636363,0.23674242424242423,F
200826,2019-20,453,29,15.620689655172415,0.3254310344827586,G
201142,2020-21,1157,35,33.05714285714286,0.6886904761904762,F
201142,2021-22,2047,55,37.21818181818182,0.7753787878787879,F
201142,2022-23,1673,47,35.59574468085106,0.7415780141843972,F
201142,2023-24,2790,75,37.2,0.775,F
201143,2019-20,2023,67,30.19402985074627,0.6290422885572139,C
201143,2020-21,782,28,27.928571428571427,0.581845238095238,C
201143,2021-22,2006,69,29.07246376811594,0.6056763285024155,C
201143,2022-23,1922,63,30.50793650793651,0.6355820105820106,C
201143,2023-24,1742,65,26.8,0.5583333333333333,C
201144,2019-20,1362,47,28.97872340425532,0.6037234042553191,G
201144,2020-21,1497,51,29.352941176470587,0.6115196078431372,G
201144,2021-22,2054,72,28.52777777777778,0.5943287037037037,G
201144,2022-23,2026,67,30.238805970149254,0.6299751243781094,G
201144,2023-24,2190,76,28.81578947368421,0.600328947368421,G
201145,2019-20,961,48,20.020833333333332,0.4171006944444444,F
201145,2020-21,1839,68,27.044117647058822,0.5634191176470588,F
201145,2021-22,1850,75,24.666666666666668,0.513888888888889,F
201145,2022-23,1091,56,19.482142857142858,0.4058779761904762,F
201145,2023-24,1306,78,16.743589743589745,0.34882478632478636,F
201152,2019-20,1594,64,24.90625,0.5188802083333334,F
201152,2020-21,1654,68,24.323529411764707,0.5067401960784313,F
201152,2021-22,842,52,16.192307692307693,0.3373397435897436,F
201152,2022-23,795,53,15.0,0.3125,F
201152,2023-24,442,33,13.393939393939394,0.27904040404040403,F
201158,2019-20,882,57,15.473684210526315,0.3223684210526316,G
201162,2019-20,368,45,8.177777777777777,0.17037037037037037,F
201163,2019-20,733,35,20.942857142857143,0.4363095238095238,F
201188,2019-20,1159,44,26.34090909090909,0.5487689393939393,C
201188,2020-21,993,52,19.096153846153847,0.3978365384615385,C
201229,2019-20,873,55,15.872727272727273,0.3306818181818182,F
201565,2019-20,1299,50,25.98,0.54125,G
