nba_api_id,mpg_prior,mpg_prior_adj,latest_age
203503,16.833308884414972,16.03330888441497,30.0
203504,11.897849462365592,11.497849462365592,29.0
203506,29.263419913419913,28.063419913419914,31.0
203507,32.471283040579415,32.471283040579415,28.0
203516,24.048780487804876,23.248780487804876,30.0
203521,8.771153846153846,6.871153846153845,32.0
203524,21.323943661971832,20.52394366197183,30.0
203526,14.74360119047619,13.543601190476188,31.0
203552,27.66626500117656,25.76626500117656,32.0
203585,15.844771241830065,14.644771241830064,31.0
203648,7.3778957528957525,6.577895752895753,30.0
203897,35.479101517554575,35.479101517554575,28.0
203901,15.171851851851853,15.171851851851853,28.0
203903,30.18549735727451,28.98549735727451,31.0
203914,26.512137022533917,26.512137022533917,28.0
203915,32.867502764060845,32.06750276406085,30.0
203918,15.145814660056146,14.745814660056146,29.0
203920,21.811802708943322,21.411802708943323,29.0
203922,16.043478260869566,16.043478260869566,27.0
203924,34.32904745822679,33.92904745822679,29.0
203925,24.858941461425932,23.658941461425933,31.0
203926,22.08801247771836,20.888012477718362,31.0
203932,29.69507625272331,29.69507625272331,27.0
203933,17.60164835164835,17.201648351648352,29.0
203935,32.27734645578388,31.87734645578388,29.0
203937,26.25879917184265,25.85879917184265,29.0
203939,19.60652472223452,18.406524722234522,31.0
203944,35.773123590025,35.773123590025,28.0
203952,32.254291390698874,32.254291390698874,28.0
203954,33.86172650878534,33.46172650878534,29.0
203960,10.89655172413793,10.89655172413793,28.0
203967,14.323309625414888,13.923309625414888,29.0
203991,27.39681596824454,26.99681596824454,29.0
203992,28.590754483611622,27.79075448361162,30.0
203994,26.734418091560947,26.734418091560947,28.0
203999,33.73444873444873,33.73444873444873,28.0
204001,30.426777508856855,30.426777508856855,27.0
204020,17.53846153846154,17.13846153846154,29.0
204025,18.666666666666664,17.466666666666665,31.0
204038,10.95,10.549999999999999,29.0
204060,24.073563857729987,20.073563857729987,35.0
204456,22.244564067172764,21.044564067172765,31.0
1626143,12.851851851851851,12.851851851851851,25.0
1626145,22.40854067654459,22.40854067654459,27.0
