row,player_idx,log_mpg_actual,log_mpg_fitted,mpg_fitted,p_bench,p_rotation,p_star,mpg_actual
16,8,3.336239485387383,2.85076160625,17.313193375,0.9273781806874999,0.0720454280283375,0.0005763953644875,28.113207547169814
17,8,3.333394278310793,3.0662863,21.495751875,0.45011066193750005,0.3026075625035,0.2472817833125,28.03333333333334
18,8,2.955344212648703,3.0671661125000003,21.5170033125,0.4402876268125,0.31693553475175,0.24277685175000002,19.208333333333332
19,9,2.9695299011599667,2.8489634812499998,17.280918687499998,0.9345012249999999,0.0649412203097625,0.00055755688125,19.48275862068965
20,10,3.4508941642073774,2.8577336875,17.439046375,0.9026982670625,0.09642574458733126,0.0008759963711874999,31.52857142857143
21,10,3.447717397297048,3.13247143125,22.966460937500003,0.336743124875,0.3172652739804375,0.34599160537499996,31.428571428571423
22,10,3.49417383812026,3.2506682875,25.843377625000002,0.16375832844375002,0.28809716533012497,0.5481445075,32.92307692307691
23,10,3.4667946641479688,3.2588285999999997,26.0594469375,0.14867227741250003,0.29131045876730627,0.560017270625,32.03389830508475
24,11,3.0544975827802423,2.8428160249999994,17.174177375,0.9566730575,0.042581479735850004,0.0007454657586625001,21.21052631578947
25,12,2.749506914780556,2.8474476249999996,17.253899812500002,0.9404532743749999,0.05900653874775,0.000540193966625,15.634920634920631
26,13,3.357165111511652,2.85439998125,17.378016312499998,0.9158595868750001,0.08330081273306249,0.0008396052121,28.70769230769231
27,13,3.068052935133617,3.2337290625,25.400640375000002,0.19944254436249997,0.2739505521855625,0.5266069018749999,21.499999999999996
28,13,2.6642475784438173,3.032383825,20.776949125,0.4967545704375,0.31749144223018755,0.1857539834375,14.35714285714286
29,14,3.5016401646930007,2.8446381375,17.2064526875,0.94946950625,0.0497479849778375,0.0007825038131437501,33.169811320754725
30,14,3.2536487916232457,3.2861717999999995,26.78749275,0.1729518574625,0.17210745432276248,0.65494068375,25.884615384615383
31,14,3.1054450066862387,3.0763318812500002,21.7339184375,0.4789760050625,0.22287517793237502,0.2981488199375,22.319148936170215
32,15,3.081499095311416,2.8486811562499996,17.27587175,0.935614308125,0.06383125667275,0.00055443448940625,21.791044776119403
