,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"zone_fga_per_36_intrinsic[178,3]",1.86512,0.0175619,0.629674,0.536093,1.08328,1.7396,3.05462,2055.21,864.515,1.00336
"zone_fga_per_36_intrinsic[178,4]",0.792094,0.00447393,0.200261,0.187812,0.518525,0.762847,1.17,2244.76,1164.47,1.00095
"zone_fga_per_36_intrinsic[178,5]",0.426757,0.00260468,0.12702,0.11842,0.255812,0.409515,0.654741,2920.66,1134.98,1.00084
"zone_fga_per_36_intrinsic[178,6]",4.17082,0.0236522,1.00017,0.87847,2.81763,4.03564,6.03405,2058.39,1187.81,1.0015
"zone_fga_per_36_intrinsic[179,1]",8.02099,0.0312346,1.26776,1.18222,6.20592,7.88339,10.1575,1811.38,946.202,1.00013
"zone_fga_per_36_intrinsic[179,2]",2.55493,0.0103587,0.513092,0.48037,1.80545,2.48983,3.50778,2818.31,1213.49,1.00188
"zone_fga_per_36_intrinsic[179,3]",0.90414,0.00680418,0.286749,0.257273,0.534701,0.851822,1.44988,2223.51,1311.77,1.00433
"zone_fga_per_36_intrinsic[179,4]",0.114688,0.00121586,0.0450862,0.0413851,0.0559067,0.10694,0.198583,1407.73,1146.56,1.00148
"zone_fga_per_36_intrinsic[179,5]",0.0963213,0.00103861,0.043586,0.037483,0.0424775,0.0885664,0.182178,1958.08,1354.95,0.999813
"zone_fga_per_36_intrinsic[179,6]",0.337767,0.00319929,0.125005,0.110902,0.175415,0.316746,0.564989,1906.69,1236.47,1.00395
"zone_fga_per_36_intrinsic[180,1]",3.09323,0.0109512,0.514369,0.490155,2.36011,3.03464,4.00317,2334.54,1192.34,0.9996
"zone_fga_per_36_intrinsic[180,2]",2.18206,0.00986518,0.495877,0.461133,1.50322,2.11986,3.11974,2864.03,1117.86,1.00107
"zone_fga_per_36_intrinsic[180,3]",0.573305,0.00521517,0.218939,0.191625,0.298184,0.532925,0.972924,1931.94,1135.24,0.999794
"zone_fga_per_36_intrinsic[180,4]",0.466327,0.00289197,0.131057,0.113169,0.291214,0.444511,0.718963,2338.41,1132.75,1.00063
"zone_fga_per_36_intrinsic[180,5]",0.392767,0.00295679,0.120823,0.107704,0.23711,0.375939,0.622588,2194.15,1127.24,1.0006
