stan_idx,nba_api_id,name,alpha_mean,alpha_sd,ra_intrinsic_per36_mean,paint_intrinsic_per36_mean,mid_intrinsic_per36_mean,lc3_intrinsic_per36_mean,rc3_intrinsic_per36_mean,ab3_intrinsic_per36_mean,total_intrinsic_per36
17,200768,Kyle Lowry,0.9799786325,0.014008205910954254,3.0312683249999997,1.5651974643749997,1.3399465437499998,0.6551402068750001,0.325755424375,5.8926466625,12.809954399999999
18,200782,P.J. Tucker,0.9923214487500001,0.007205942198361255,2.028808825,1.0640409875,0.3255780503125,1.40820932,1.217571751875,0.44258885,6.4867975125
19,200794,Paul Millsap,0.9905001812500001,0.009357004105128864,5.0054262,2.7481676124999996,1.257193683125,0.5350529738125,0.608470055375,3.634700575,13.789010306249999
20,201142,Kevin Durant,0.99095254625,0.008287813262728653,3.2127578,4.276178425,5.403825412500001,0.23691263281250002,0.2981409555625,5.17595388125,18.6037695
21,201143,Al Horford,0.991217044375,0.00867766989360657,3.1592308687500004,1.7891707918750002,1.101689075,0.40294544125000004,0.5255185781249999,2.7446774875,9.723232600000001
22,201144,Mike Conley,0.9790149125000001,0.014440128529244253,2.4686306625,3.6962702312499998,1.073493953125,0.37501920499999997,0.7998964393750001,5.699181775,14.112491212499998
23,201145,Jeff Green,0.9912205725,0.00852663357726798,5.186476031249999,2.04923919375,0.870081216875,0.81863997,0.892479306875,2.5406351750000002,12.357549975
24,201152,Thaddeus Young,0.9908978768750001,0.009056484316870164,6.041750125,3.4358260937500007,0.593874190625,0.8652187343750001,0.34085366262500005,0.98083866,12.2583613375
25,201158,Marco Belinelli,0.9798316262500001,0.015256515919814752,2.50244763625,1.699789745,2.66355896625,0.7844939256250001,0.8082533649999999,6.31574111875,14.7742841875
26,201163,Wilson Chandler,0.99073024,0.008674888698199533,3.016852565625,1.98539548625,0.9335756288749999,0.7018333045625,0.819984025,4.6291337975,12.086774162500001
27,201188,Marc Gasol,0.991773535625,0.008170975232490971,3.0099667975,1.77950485125,0.6892819794374999,0.1116557515625,0.13169433675,2.3185164562500002,8.04061943125
28,201229,Anthony Tolliver,0.9909174275000001,0.008775601635058633,2.8954348500000004,1.3515842825,0.8718774962500001,0.7206765173125,0.8343526406250001,4.686379078124999,11.36030589375
29,201565,Derrick Rose,0.97847954375,0.015285750044832146,5.5597903437500005,4.1960006125,3.00880442625,0.43602669668750005,0.45828354375,4.054920168750001,17.713825312500003
30,201566,Russell Westbrook,0.978789098125,0.015640721167548395,8.00828073125,3.2274694687500003,3.4820524437500002,0.570213723125,0.3462438837499999,3.5418493875,19.176108875
31,201567,Kevin Love,0.991105795,0.008536639660339131,2.5722724312499996,1.5175494231250002,1.717685954375,0.87953940625,0.585924136875,7.951979262499999,15.22495099375
32,201568,Danilo Gallinari,0.99127020875,0.008135538391460237,2.6356822375,1.7148450637500003,2.8361871668750003,0.460189578125,0.49703139125,6.54959938125,14.69353385
