row_idx,nba_api_id,season,role_mode
300,203087,2019-20,league_fallback
301,203087,2020-21,team
302,203087,2021-22,team
303,203089,2019-20,league_fallback
304,203090,2019-20,league_fallback
305,203090,2020-21,trade
306,203090,2021-22,team
307,203095,2019-20,league_fallback
308,203095,2020-21,team
309,203095,2021-22,trade
310,203107,2019-20,league_fallback
311,203107,2020-21,team
312,203107,2021-22,trade
313,203109,2019-20,league_fallback
314,203109,2020-21,trade
315,203109,2021-22,team
316,203110,2019-20,league_fallback
317,203110,2020-21,team
318,203110,2021-22,team
319,203110,2022-23,team
320,203114,2019-20,league_fallback
321,203114,2020-21,team
322,203114,2021-22,team
323,203114,2022-23,team
324,203115,2019-20,league_fallback
325,203115,2020-21,team
326,203115,2021-22,team
327,203115,2022-23,trade
328,203118,2019-20,league_fallback
329,203118,2020-21,team
330,203145,2019-20,league_fallback
331,203145,2020-21,trade
332,203145,2021-22,trade
333,203200,2019-20,league_fallback
334,203200,2020-21,team
335,203200,2021-22,team
336,203200,2022-23,trade
337,203210,2019-20,league_fallback
338,203210,2020-21,trade
339,203210,2021-22,team
340,203210,2022-23,trade
341,203382,2019-20,league_fallback
342,203382,2020-21,trade
343,203457,2019-20,league_fallback
344,203457,2020-21,trade
345,203457,2021-22,team
346,203458,2019-20,league_fallback
347,203458,2020-21,trade
348,203458,2021-22,trade
349,203459,2019-20,league_fallback
350,203463,2019-20,league_fallback
351,203463,2020-21,team
352,203463,2021-22,trade
353,203468,2019-20,league_fallback
354,203468,2020-21,team
355,203468,2021-22,team
356,203468,2022-23,trade
357,203469,2019-20,league_fallback
358,203469,2020-21,team
359,203471,2019-20,league_fallback
360,203471,2020-21,trade
361,203471,2021-22,trade
362,203471,2022-23,trade
363,203473,2019-20,league_fallback
364,203473,2021-22,team
365,203476,2019-20,league_fallback
366,203476,2020-21,trade
367,203482,2019-20,league_fallback
368,203482,2020-21,team
369,203482,2021-22,trade
370,203482,2022-23,trade
371,203484,2019-20,league_fallback
372,203484,2020-21,team
373,203484,2021-22,trade
374,203484,2022-23,trade
375,203486,2019-20,league_fallback
376,203486,2020-21,trade
377,203486,2021-22,trade
378,203486,2022-23,team
379,203487,2019-20,league_fallback
380,203487,2020-21,team
381,203488,2019-20,league_fallback
382,203488,2020-21,team
383,203488,2021-22,team
384,203488,2022-23,team
385,203490,2020-21,team
386,203490,2021-22,trade
387,203493,2019-20,league_fallback
388,203493,2020-21,team
389,203493,2021-22,trade
390,203493,2022-23,team
391,203496,2019-20,league_fallback
392,203496,2020-21,trade
393,203496,2021-22,team
394,203496,2022-23,trade
395,203497,2019-20,league_fallback
396,203497,2020-21,team
397,203497,2021-22,team
398,203497,2022-23,trade
399,203500,2019-20,league_fallback
400,203500,2020-21,trade
401,203500,2021-22,trade
402,203500,2022-23,team
403,203501,2019-20,league_fallback
404,203501,2020-21,team
405,203501,2021-22,team
406,203501,2022-23,team
407,203503,2019-20,league_fallback
408,203503,2020-21,trade
409,203503,2021-22,trade
410,203504,2019-20,league_fallback
411,203504,2020-21,trade
412,203506,2019-20,league_fallback
413,203506,2020-21,trade
414,203506,2022-23,team
415,203507,2019-20,league_fallback
416,203507,2020-21,team
417,203507,2021-22,team
418,203507,2022-23,team
419,203516,2019-20,league_fallback
420,203516,2020-21,trade
421,203521,2019-20,league_fallback
422,203524,2019-20,league_fallback
423,203524,2020-21,trade
424,203526,2019-20,league_fallback
425,203526,2020-21,trade
426,203526,2021-22,team
427,203526,2022-23,trade
428,203552,2019-20,league_fallback
429,203552,2020-21,trade
430,203552,2021-22,team
431,203552,2022-23,trade
432,203584,2019-20,league_fallback
433,203585,2019-20,league_fallback
434,203585,2021-22,team
435,203585,2022-23,team
436,203648,2020-21,team
437,203894,2019-20,league_fallback
438,203895,2019-20,league_fallback
439,203897,2019-20,league_fallback
440,203897,2020-21,team
441,203897,2021-22,team
442,203897,2022-23,team
443,203901,2019-20,league_fallback
444,203901,2020-21,team
445,203901,2021-22,trade
446,203903,2019-20,league_fallback
447,203903,2020-21,team
448,203903,2021-22,team
449,203903,2022-23,team
450,203914,2019-20,league_fallback
451,203914,2020-21,team
452,203914,2021-22,trade
453,203914,2022-23,team
454,203915,2019-20,league_fallback
455,203915,2021-22,trade
456,203915,2022-23,trade
457,203918,2019-20,league_fallback
458,203918,2020-21,team
459,203918,2021-22,trade
460,203920,2019-20,league_fallback
461,203920,2020-21,team
462,203920,2021-22,trade
463,203922,2019-20,league_fallback
464,203924,2019-20,league_fallback
465,203924,2020-21,trade
466,203924,2021-22,team
467,203924,2022-23,trade
468,203925,2019-20,league_fallback
469,203925,2020-21,team
470,203925,2022-23,team
471,203926,2019-20,league_fallback
472,203926,2020-21,team
473,203926,2021-22,trade
474,203926,2022-23,team
475,203932,2019-20,league_fallback
476,203932,2020-21,team
477,203932,2021-22,trade
478,203932,2022-23,team
479,203933,2019-20,league_fallback
480,203933,2022-23,fa
481,203935,2019-20,league_fallback
482,203935,2020-21,team
483,203935,2021-22,team
484,203935,2022-23,team
485,203937,2019-20,league_fallback
486,203937,2020-21,team
487,203937,2021-22,team
488,203937,2022-23,trade
489,203939,2019-20,league_fallback
490,203939,2020-21,team
491,203939,2021-22,team
492,203939,2022-23,team
493,203944,2019-20,league_fallback
494,203944,2020-21,team
495,203944,2021-22,team
496,203944,2022-23,team
497,203952,2019-20,league_fallback
498,203952,2020-21,trade
499,203952,2021-22,team
500,203952,2022-23,team
501,203953,2019-20,league_fallback
502,203954,2019-20,league_fallback
503,203954,2020-21,team
504,203954,2021-22,team
505,203954,2022-23,team
506,203967,2019-20,league_fallback
507,203967,2020-21,team
508,203967,2022-23,fa
509,203991,2019-20,league_fallback
510,203991,2020-21,trade
511,203991,2021-22,team
512,203991,2022-23,team
513,203992,2019-20,league_fallback
514,203992,2020-21,trade
515,203992,2021-22,team
516,203992,2022-23,team
517,203994,2020-21,team
518,203994,2021-22,team
519,203994,2022-23,team
520,203999,2019-20,league_fallback
521,203999,2020-21,team
522,203999,2021-22,team
523,203999,2022-23,team
524,204001,2019-20,league_fallback
525,204001,2020-21,team
526,204001,2021-22,team
527,204001,2022-23,trade
528,204020,2019-20,league_fallback
529,204020,2020-21,trade
530,204038,2019-20,league_fallback
531,204060,2019-20,league_fallback
532,204060,2020-21,team
533,204060,2021-22,team
534,204060,2022-23,trade
535,204456,2019-20,league_fallback
536,204456,2020-21,team
